H 0  0  1  1  0  1 ,H 1  0  0  0  0  1 ,H 1  1  1  0  0  0 ,H 0  0  0  1  0  0 ,H 0  0  0  0  1  0 ,H 1  1  1  1  0  0 ,H 0  0  0  0  0  0 ,H 1  0  0  1  0  1 ,H 0  0  1  0  0  1 ,H 1  0  0  0  1  1 ,H 1  0  0  1  1  1 ,H 1  1  1  1  1  0 ,H 1  1  1  0  1  0 ,H 0  0  0  1  1  0 ,H 0  1  0  0  0  1 ,H 0  0  1  0  1  1 ,H 0  0  1  1  1  1 ,H 1  1  0  0  0  0 ,H 1  0  0  0  0  0 ,H 0  0  0  0  0  1 ,H 0  0  0  0  1  1 ,H 1  1  1  1  0  1 ,H 0  1  0  0  1  1 ,H 0  1  1  0  0  0 ,H 0  0  1  0  0  0 ,H 1  0  0  0  1  0 ,H 1  1  1  1  1  1 ,H 1  0  1  1  1  1 ,H 1  0  1  1  0  1 ,H 0  1  1  0  1  0 ,H 1  1  0  0  1  0 ,H 0  0  1  0  1  0 ,H 0  1  1  1  0  1 ,H 0  1  1  0  0  1 ,H 0  1  0  0  1  0 ,H 0  1  0  1  0  0 ,H 0  1  0  1  1  0 ,H 1  1  0  1  0  1 ,H 1  1  0  0  0  1 ,H 0  1  1  1  1  1 ,H 1  0  1  0  1  0 ,H 1  0  1  1  1  0 ,H 1  0  1  1  0  0 ,H 1  0  1  0  0  0 ,H 0  1  1  0  1  1 ,H 1  1  0  1  1  1 ,H 1  1  0  0  1  1 ,H 0  1  1  1  0  0 ,H 1  0  0  1  0  0 ,H 0  0  0  1  0  1 ,H 0  1  0  1  0  1 ,H 1  1  1  0  0  1 ,H 0  1  0  1  1  1 ,H 1  1  0  1  0  0 ,H 0  0  1  1  0  0 ,H 1  1  0  1  1  0 ,H 1  0  0  1  1  0 ,H 1  0  1  0  1  1 ,H 1  1  1  0  1  1 ,H 0  0  0  1  1  1 ,H 0  1  0  0  0  0 ,H 1  0  1  0  0  1 ,H 0  1  1  1  1  0 ,H 0  0  1  1  1  0 
"	2","	6","	1","	341","	257","	1","	15","	105","	2","	89","	2633","	15","	8","	9262","	7","	6","	6","	6","	62","	8","	24","	1","	3","	3","	1","	914","	2","	7","	0","	4","	110","	9","	0","	2","	42","	37","	685","	9","	3","	2","	18","	141","	9","	4","	0","	214","	14","	2","	1355","	36","	5","	2","	72","	98","	11","	2744","	35812","	3","	0","	714","	6","	1","	5","	39"
"	4","	7","	5","	38","	7","	0","	15","	13","	1","	5","	6","	2","	1","	21","	2","	2","	1","	2","	7","	7","	8","	1","	1","	4","	11","	4","	2","	2","	1","	2","	4","	4","	6","	2","	6","	26","	7","	8","	4","	1","	1","	1","	6","	4","	0","	4","	1","	2","	29","	17","	12","	0","	5","	29","	3","	12","	13","	3","	3","	6","	7","	2","	2","	8"
"	35","	6","	8","	44","	8","	22","	10","	13","	13","	5","	3","	3","	1","	10","	28","	3","	5","	12","	13","	15","	6","	36","	10","	11","	9","	2","	5","	3","	17","	5","	5","	3","	57","	17","	7","	140","	16","	83","	16","	5","	5","	6","	14","	4","	10","	12","	4","	36","	26","	60","	167","	7","	15","	66","	22","	13","	9","	5","	4","	14","	19","	6","	8","	10"
"	19","	3","	4","	6","	1","	12","	9","	2","	7","	0","	1","	1","	0","	1","	22","	3","	0","	4","	5","	5","	2","	10","	0","	11","	2","	2","	2","	1","	1","	2","	3","	2","	65","	19","	0","	36","	1","	26","	8","	2","	0","	0","	1","	0","	1","	2","	2","	39","	5","	7","	84","	8","	4","	4","	12","	0","	1","	0","	0","	4","	13","	6","	2","	1"
"	0","	1","	2625","	2","	5","	131","	8","	1","	5","	10","	3","	4","	84","	1","	2","	5","	3","	216","	36","	5","	5","	8","	6","	182","	33","	5","	1","	1","	6","	12","	6","	7","	0","	9","	0","	4","	1","	1","	18","	0","	23","	4","	14","	447","	4","	2","	4","	14","	6","	4","	0","	142","	2","	17","	6","	1","	4","	6","	7","	1","	24","	33","	0","	2"
"	0","	1","	2044","	3","	0","	63","	4","	2","	8","	1","	0","	0","	6","	0","	3","	0","	0","	61","	4","	0","	2","	2","	1","	250","	23","	4","	0","	0","	1","	2","	0","	2","	1","	18","	1","	1","	0","	1","	4","	1","	0","	0","	4","	106","	2","	0","	1","	15","	1","	1","	1","	129","	0","	1","	2","	0","	0","	3","	2","	2","	10","	10","	2","	0"
"	2","	2","	1","	8","	4","	1","	5","	4","	0","	1","	2","	1","	1","	2","	5","	1","	3","	12","	5","	4","	0","	0","	1","	1","	8","	3","	0","	0","	1","	2","	3","	4","	1","	2","	3","	6","	2","	3","	1","	1","	5","	0","	1","	2","	1","	0","	0","	1","	5","	1","	1","	0","	0","	10","	5","	0","	2","	3","	0","	0","	5","	1","	1","	1"
"	2","	4","	26","	7","	13","	10","	8","	3","	4","	6","	1","	6","	11","	5","	2","	2","	2","	36","	40","	5","	3","	2","	3","	7","	9","	42","	0","	0","	2","	3","	27","	10","	1","	0","	6","	9","	4","	3","	2","	1","	16","	7","	20","	31","	1","	1","	5","	3","	37","	4","	1","	1","	1","	17","	4","	13","	18","	1","	3","	5","	9","	4","	2","	3"
"	0","	2","	14","	5","	6","	3","	5","	0","	0","	2","	1","	1","	7","	4","	1","	0","	1","	20","	56","	0","	0","	0","	0","	3","	3","	64","	0","	0","	0","	2","	22","	5","	0","	1","	2","	1","	0","	0","	2","	1","	32","	3","	5","	25","	2","	0","	2","	1","	16","	0","	0","	0","	0","	4","	1","	3","	10","	0","	1","	0","	1","	1","	1","	0"
"	2","	2","	1","	87","	1","	0","	4","	9","	1","	0","	1","	0","	0","	8","	3","	1","	0","	1","	2","	1","	0","	1","	0","	2","	2","	2","	0","	0","	1","	0","	0","	1","	3","	0","	0","	85","	7","	7","	0","	2","	0","	0","	0","	1","	0","	2","	0","	0","	7","	139","	113","	1","	13","	5","	0","	0","	3","	0","	0","	11","	2","	2","	0","	0"
"	58","	2","	342","	3","	1","	139","	3","	3","	67","	1","	0","	0","	1","	0","	173","	1","	1","	9","	3","	10","	4","	446","	1","	1078","	23","	1","	0","	2","	21","	3","	0","	1","	1592","	3085","	1","	29","	0","	28","	57","	3","	1","	0","	7","	9","	6","	0","	2","	459","	1","	5","	107","	938","	3","	9","	23","	0","	0","	1","	1","	1","	57","	30","	0","	0"
