RowId,V 0  1  1  0  0  1 ,V 0  1  1  1  0  1 ,V 0  1  0  0  0  0 ,V 0  1  0  1  0  0 ,V 1  0  1  1  1  1 ,V 0  1  0  0  1  0 ,V 0  1  0  1  1  0 ,V 1  1  0  1  0  1 ,V 1  1  0  0  0  1 ,V 0  0  1  1  1  0 ,V 1  0  0  0  1  0 ,V 1  0  1  1  0  1 ,V 1  0  1  0  0  1 ,V 1  0  1  0  1  1 ,V 1  0  0  1  1  0 ,V 0  0  1  0  1  0 ,V 0  0  0  1  0  1 ,V 0  1  0  1  0  1 ,V 0  1  1  1  0  0 ,V 1  1  1  0  0  1 ,V 0  1  0  1  1  1 ,V 1  0  0  1  0  0 ,V 1  1  0  1  0  0 ,V 0  0  1  1  0  0 ,V 0  0  1  0  1  1 ,V 0  0  0  1  1  0 ,V 1  1  1  0  1  0 ,V 0  1  1  0  1  1 ,V 1  0  1  0  1  0 ,V 1  0  1  0  0  0 ,V 1  0  0  0  1  1 ,V 1  1  0  0  1  1 ,V 0  0  0  1  0  0 ,V 0  0  1  0  0  1 ,V 0  0  0  0  0  0 ,V 1  0  0  1  0  1 ,V 1  1  1  0  0  0 ,V 1  0  0  0  0  1 ,V 0  0  1  1  0  1 ,V 0  1  1  1  1  0 ,V 0  1  1  0  1  0 ,V 1  1  1  1  0  1 ,V 0  0  0  1  1  1 ,V 0  0  0  0  1  1 ,V 1  1  1  1  1  1 ,V 1  1  1  0  1  1 ,V 1  1  0  1  1  0 ,V 1  1  0  0  1  0 ,V 0  0  1  0  0  0 ,V 0  1  1  0  0  0 ,V 0  1  0  0  0  1 ,V 0  0  0  0  0  1 ,V 1  0  1  1  1  0 ,V 0  1  0  0  1  1 ,V 1  0  0  0  0  0 ,V 1  1  0  0  0  0 ,V 0  0  1  1  1  1 ,V 0  1  1  1  1  1 ,V 1  0  1  1  0  0 ,V 1  1  1  1  0  0 ,V 0  0  0  0  1  0 ,V 1  1  1  1  1  0 ,V 1  0  0  1  1  1 ,V 1  1  0  1  1  1 
H 0  0  1  1  0  1 ,13508,19850,365,3431,3694,1733,1553,67461,5933,48290,26103,5312,5486,11756,1527,384,1026,5586,3907,3911,16556,457,6071,2457,1214,63604,30090,839,523,435,242,1548,221,2418,1138,40462,28703,2194,107894,2591,3659,5554,186,1545,8490,561,2478,3362,8553,44087,18115,3650,13307,832,12576,7679,2516,7902,513,27987,3481,8158,741,1126
H 1  0  0  0  0  1 ,289,1132,526,4340,4144,165,8517,3267,443,660,6093,25067,458,11362,7654,33012,97257,22031,3671,4203,66084,2922,371,47941,1517,3123,5570,241,2856,31696,5459,7447,5488,44113,1476,33004,5824,49895,418,42234,3791,441,64595,8301,2261,2752,606,4487,2048,648,64008,3876,288,16387,11168,129638,791,2317,2886,5836,4062,2083,254,85856
H 1  1  1  0  0  0 ,2684,1392,356,3576,3706,1418,1826,14172,1489,2981,7021,18524,1439,3500,1774,4291,4524,17265,3362,3735,17753,1695,1348,9424,3454,14304,7332,717,1746,4338,843,1730,917,8493,3489,35931,7207,8900,5741,8588,3433,1346,2279,1857,7314,1737,710,3565,6840,2991,17991,3346,2946,8823,3485,8975,693,7283,1743,7021,3290,7045,693,4227
H 0  0  0  1  0  0 ,2329,33864,788,4778,4861,435,6935,20516,3590,22905,30007,4526,3523,45715,6613,1114,9670,4345,4507,4852,40693,746,3424,6637,587,20718,31070,565,812,1088,1041,6392,1102,5992,665,27968,30676,6470,15096,6119,4498,3216,1581,6965,3225,797,4817,4707,3052,22001,41655,4362,2480,881,45341,61528,5225,3358,782,29578,4419,3121,556,8872
H 0  0  0  0  1  0 ,28527,380,866,5063,5051,52515,777,22268,3500,2043,2976,60801,3581,525,767,14048,1151,63055,5473,5097,4437,9583,3655,7663,77697,22638,2947,6336,9698,14354,1284,792,1258,7890,78254,33169,3028,7685,15187,7798,5305,3587,1994,800,40543,9520,466,5426,41825,2053,4359,5367,27527,115888,517,729,488,40937,9404,3069,5397,42308,6445,1117
H 1  1  1  1  0  0 ,1179,17140,263,3502,3592,178,4567,20013,1740,13053,25189,5652,1626,35730,4241,966,10108,5421,3347,3698,54367,423,1546,7852,387,19563,28019,236,486,1061,603,4481,587,6770,415,41794,27175,7313,9439,7279,3326,1474,1300,4808,2749,489,2014,3354,2620,12382,58580,3159,1244,851,36961,76180,2208,2689,480,26195,3177,2518,217,9148
H 0  0  0  0  0  0 ,5340,2827,1005,4832,4993,3168,2840,14675,3039,5132,8761,14204,3189,4687,2750,4597,4464,14070,4644,4685,13451,2993,2875,7843,4940,15443,7874,1720,2913,4499,1565,2576,1599,7707,5056,24259,8219,7878,9035,7599,4957,2973,2571,2679,8510,2742,1683,5146,8270,5392,13257,4613,5514,8116,4545,7415,1754,8972,2807,8138,4982,8728,1820,4301
H 1  0  0  1  0  1 ,112,12488,409,4608,4461,44,23355,4438,502,2514,22148,8041,454,121896,20095,6869,231752,6881,3902,4420,217440,792,460,42113,177,4427,22961,113,779,7018,3997,20473,3864,35960,181,40382,22223,41750,593,36168,3691,471,37887,23792,987,787,2093,4376,875,2342,219330,3849,176,1450,125079,1217935,2496,952,724,22518,3737,763,112,199368
H 0  0  1  0  0  1 ,31818,1613,385,3643,3712,15532,632,46521,5007,10149,7227,16615,4791,1302,690,1420,499,17515,3931,3715,5619,1864,5141,2766,11343,45974,7585,2580,1894,1470,361,683,330,2936,11417,33937,7426,2776,62934,3034,3910,4852,272,652,22591,2009,941,3578,23785,9768,5677,3901,30471,8524,1342,1128,797,22311,1909,7339,3740,23755,2431,608
H 1  0  0  0  1  1 ,1013,168,443,4915,4594,2209,2158,4784,487,295,2169,110701,500,1046,2084,113139,22081,105436,4421,4662,21430,10317,461,49041,23460,4766,2212,1002,10287,111081,4620,2052,4564,46816,23220,46767,2126,49729,611,46607,4426,518,49761,2166,10622,10329,218,4688,9983,292,20948,4591,1021,253486,1040,9578,214,10381,10642,2272,4530,9768,990,20974
H 1  0  0  1  1  1 ,408,1032,319,4408,4177,248,4914,6054,496,871,6642,29931,499,8141,4557,20401,44951,27708,4007,4497,59645,2193,463,37341,2035,5664,7244,298,2322,20968,3035,4872,2743,33270,1911,49449,7006,36046,762,34156,3897,444,25253,5234,3517,2443,535,4011,3358,822,61117,3880,473,16794,8538,73820,614,3370,2395,6981,3802,3161,265,41481
H 1  1  1  1  1  0 ,5901,1362,222,3633,3592,2472,1061,29469,1841,4636,8057,22654,1794,2556,1100,2607,2101,22139,3870,3803,15952,1305,1842,7329,4939,27308,9300,828,1407,2968,464,1152,422,6644,4594,54705,8683,6504,14637,7109,3540,1661,924,1082,12197,1610,556,3407,11650,4236,17548,3450,6140,9157,2730,5162,589,11277,1417,8486,3277,11171,747,2115
H 1  1  1  0  1  0 ,15137,188,276,3941,3919,23954,478,22111,1792,1198,2467,80873,1681,388,469,13935,1142,81116,4032,4103,5638,5877,1743,9167,56465,21642,2743,2787,6206,14677,744,515,690,8640,54885,50685,2563,8898,9323,9222,3934,1634,1630,495,35448,6358,248,3872,35190,1148,6106,3943,14789,130155,389,829,210,34138,6037,2562,3829,34656,2595,1137
H 0  0  0  1  1  0 ,11531,2714,641,4766,4892,5400,1741,29969,3978,8480,9711,17465,3818,3505,1668,2872,2157,17450,5182,4931,12324,2251,3930,6137,6759,29069,10434,1880,2305,3078,840,1707,820,5988,6736,36672,10117,5809,24146,6357,4985,3829,1084,1669,14460,2471,1401,4691,14195,7863,12852,4699,11320,8458,3577,4411,1367,14075,2303,9904,4584,13916,1783,2025
H 0  1  0  0  0  1 ,1749,2046,387,3259,3353,809,2317,10564,1279,2990,7526,12204,1223,5473,2357,3573,6222,11870,3257,3244,19764,1435,1265,8735,1925,10626,7669,596,1439,3709,981,2319,1028,8292,2001,28255,7565,8710,4118,8702,3376,1176,2601,2357,4501,1414,897,3142,4547,2940,20484,3178,1771,5142,5378,14329,895,4663,1296,7423,3176,4658,512,5953
H 0  0  1  0  1  1 ,170245,201,379,3696,3594,259028,193,67484,5575,3771,2341,66722,5145,171,206,4083,174,75819,4353,3782,1897,5823,6079,2642,177257,64158,2692,9323,6045,4379,244,214,268,2818,168630,44263,2600,2501,98774,3005,4077,5959,209,201,102608,6299,286,3407,115952,3476,1996,4097,149723,114958,215,216,244,97555,5951,2600,3818,109449,8836,180
H 0  0  1  1  1  1 ,73116,1608,285,3728,3642,28567,361,98820,6816,17444,8455,20857,6092,927,413,934,272,22687,4580,4048,5162,1410,7395,2297,16597,90842,10179,3014,1457,1038,202,442,175,2284,15212,53516,9268,2123,171963,2579,3912,6749,140,413,38778,1737,709,3297,42592,15647,5897,4023,67298,9145,986,632,636,35337,1480,9189,3581,38860,2622,319
H 1  1  0  0  0  0 ,325,1782,583,4208,4313,231,8328,3857,640,1035,7567,18060,593,14061,7205,18154,68809,15695,3696,4141,59692,2305,513,34677,1199,3941,6955,322,2292,17672,4171,6842,4244,30478,1257,30607,7208,35042,668,30488,3760,528,34945,8020,2295,2090,931,4276,2011,924,58891,3712,394,9170,13458,116711,1054,2327,2140,7203,3883,2059,321,60061
H 1  0  0  0  0  0 ,467,1629,881,5366,5105,314,8939,4055,767,980,7042,22548,834,11506,7844,27293,67081,19679,4281,4876,51530,3661,652,37696,2036,4139,6292,456,3466,26019,5901,7472,6099,35239,2183,28845,6750,39792,737,33141,4438,701,46120,8561,3149,3236,1087,5498,2706,1076,48343,4543,563,15590,11033,85663,1233,3230,3572,6734,4773,2838,566,58829
H 0  0  0  0  0  1 ,2627,1898,598,4009,4110,1467,2549,11214,1700,2972,7221,15328,1671,4506,2469,5326,6090,14941,3952,3980,17188,2337,1671,9791,3545,11208,7136,935,2147,5286,1360,2486,1492,9333,3536,27023,7117,9704,4786,9267,3957,1641,3379,2511,6396,2216,1080,4107,6302,3052,17178,3872,2648,8497,4507,10719,1068,6588,2201,7061,4014,6333,986,5967
H 0  0  0  0  1  1 ,13958,217,481,4293,4337,25020,686,17153,1902,1265,2556,67238,1970,455,684,17166,1414,70319,4619,4266,5678,7768,2086,9521,56165,17184,2610,3541,7649,17649,1138,724,1160,9764,54977,38104,2609,9488,7963,10104,4634,2027,2466,683,29954,7898,371,4254,31599,1204,5674,4505,13665,124779,458,966,302,29656,7915,2558,4326,31156,3548,1642
H 1  1  1  1  0  1 ,582,11281,186,2969,3001,95,4372,15726,996,7623,21539,6075,863,34956,4070,1172,14248,5808,2962,3249,70106,300,872,9948,282,14504,24971,122,379,1231,534,4248,502,8178,275,47812,23422,8957,4839,9117,2741,840,1622,4690,2035,410,1335,2669,1918,7087,77268,2634,682,828,37458,115169,1396,1924,343,23100,2579,1788,120,13186
H 0  1  0  0  1  1 ,8895,268,349,3466,3612,12240,618,16118,1483,1246,2549,51766,1376,509,610,11142,1504,53729,3792,3668,6410,4577,1622,8552,30041,15839,2866,1989,4884,11965,800,649,799,8538,29250,39156,2763,8286,6731,8999,3652,1526,1973,638,21642,4880,282,3317,22262,1159,6685,3589,8716,72792,538,1197,285,21011,4722,2692,3458,22097,1861,1537
H 0  1  1  0  0  0 ,44089,2734,497,3581,3941,16941,709,60164,6728,18209,9282,12572,6476,1604,697,953,441,13125,4038,3774,5248,1523,7089,2245,9030,60126,9750,2755,1552,968,314,660,304,2133,9062,32548,9794,2186,113346,2376,4050,6777,233,664,22689,1622,1066,3536,23664,17123,5496,3680,42297,5076,1594,1021,1092,22707,1426,9174,3649,23815,2570,498
H 0  0  1  0  0  0 ,67295,2642,742,4376,4483,33999,715,61823,8908,17646,8878,15867,8766,1368,804,1335,489,16709,4621,4481,4638,2480,9182,2425,16221,63055,8924,4580,2412,1308,416,699,425,2515,16456,30930,8844,2423,128640,2504,4626,9134,314,691,31642,2326,1375,4409,32768,17556,4538,4544,64555,8413,1373,819,1284,31659,2423,8684,4676,33010,4666,496
