RowId,V 0  1  1  0  0  1 ,V 0  1  1  1  0  1 ,V 0  1  0  0  0  0 ,V 0  1  0  1  0  0 ,V 1  0  1  1  1  1 ,V 0  1  0  0  1  0 ,V 0  1  0  1  1  0 ,V 1  1  0  1  0  1 ,V 1  1  0  0  0  1 ,V 0  0  1  1  1  0 ,V 1  0  0  0  1  0 ,V 1  0  1  1  0  1 ,V 1  0  1  0  0  1 ,V 1  0  1  0  1  1 ,V 1  0  0  1  1  0 ,V 0  0  1  0  1  0 ,V 0  0  0  1  0  1 ,V 0  1  0  1  0  1 ,V 0  1  1  1  0  0 ,V 1  1  1  0  0  1 ,V 0  1  0  1  1  1 ,V 1  0  0  1  0  0 ,V 0  0  1  1  0  0 ,V 1  1  0  1  0  0 ,V 0  0  1  0  1  1 ,V 0  0  0  1  1  0 ,V 1  1  1  0  1  0 ,V 0  1  1  0  1  1 ,V 1  0  1  0  1  0 ,V 1  0  1  0  0  0 ,V 1  0  0  0  1  1 ,V 1  1  0  0  1  1 ,V 0  0  0  1  0  0 ,V 0  0  1  0  0  1 ,V 0  0  0  0  0  0 ,V 1  0  0  1  0  1 ,V 1  1  1  0  0  0 ,V 1  0  0  0  0  1 ,V 0  0  1  1  0  1 ,V 0  1  1  1  1  0 ,V 0  1  1  0  1  0 ,V 1  1  1  1  0  1 ,V 0  0  0  1  1  1 ,V 0  0  0  0  1  1 ,V 1  1  1  1  1  1 ,V 1  1  1  0  1  1 ,V 1  1  0  1  1  0 ,V 1  1  0  0  1  0 ,V 0  0  1  0  0  0 ,V 0  1  1  0  0  0 ,V 0  1  0  0  0  1 ,V 0  0  0  0  0  1 ,V 1  0  1  1  1  0 ,V 0  1  0  0  1  1 ,V 1  0  0  0  0  0 ,V 1  1  0  0  0  0 ,V 0  0  1  1  1  1 ,V 0  1  1  1  1  1 ,V 1  0  1  1  0  0 ,V 1  1  1  1  0  0 ,V 0  0  0  0  1  0 ,V 1  1  1  1  1  0 ,V 1  0  0  1  1  1 ,V 1  1  0  1  1  1 
H 0  0  1  1  0  1 ,337,553,788,8,140,137,66,54,2803,238,2090,1062,194,194,441,64,8,33,215,177,123,662,14,236,96,20,40,2567,1227,34,15,9,5,69,2,100,46,1659,5646,1102,87,74,115,270,8,60,355,23,80,136,333,1890,706,128,543,524,75,31,320,19,1139,127,274,24
H 1  0  0  0  0  1 ,6070,8,42,17,171,160,0,355,86,10,26,213,963,20,445,296,1567,3939,931,121,174,2666,110,11,2024,964,56,106,175,7,113,1396,163,291,190,1804,30,1413,6,210,2111,1798,133,7,2585,342,64,95,15,181,69,27,2666,154,15,482,28,3607,99,76,213,163,53,8
H 1  1  1  0  0  0 ,452,104,52,19,202,129,42,75,578,50,140,302,796,62,142,86,168,170,727,111,155,725,61,52,366,457,139,584,269,24,60,185,26,71,30,295,133,1434,301,322,297,343,132,49,68,62,303,39,20,136,294,93,767,114,105,123,24,166,297,75,267,151,279,21
H 0  0  0  1  0  0 ,2798,71,1419,16,172,193,13,310,885,172,907,1200,143,115,1862,264,39,359,178,175,182,1642,26,124,250,24,12,875,1279,13,23,40,31,258,35,240,21,1062,802,1234,239,211,156,118,50,272,131,26,214,138,106,953,1605,160,85,1913,238,358,113,30,1142,178,108,16
H 0  0  0  0  1  0 ,27,1165,11,40,165,184,2188,21,829,126,61,121,2418,133,15,22,559,48,2656,209,199,157,363,122,289,6181,3254,900,98,216,382,604,39,36,46,273,3112,1285,689,138,309,307,189,137,70,29,1519,389,14,223,1708,64,174,160,1117,16,19,39,1619,327,122,195,1744,240
H 1  1  1  1  0  0 ,3626,41,691,5,145,123,0,185,821,73,601,1069,188,79,1492,157,24,401,230,159,103,2219,5,61,328,28,11,714,1126,9,22,43,20,177,27,226,9,1684,474,1049,292,266,97,38,62,196,96,23,85,159,99,605,2474,143,45,1532,92,356,104,12,1104,116,105,3
H 0  0  0  0  0  0 ,321,203,100,44,196,183,152,76,585,84,205,303,483,96,162,94,202,163,490,163,160,527,124,132,301,421,187,625,339,56,115,202,68,107,45,298,204,997,388,304,222,304,175,125,104,99,338,90,52,196,332,207,566,144,227,184,59,132,313,93,315,151,340,56
H 1  0  0  1  0  1 ,56399,2,570,12,181,166,0,935,160,21,129,806,376,18,4820,759,251,9704,268,130,137,8718,29,12,1659,29,2,138,917,0,29,289,150,888,136,1347,4,1605,20,860,1638,1422,149,10,1535,965,26,39,79,166,24,86,8663,132,2,4987,103,8244,33,25,861,144,18,4
H 0  0  1  0  0  1 ,45,1324,54,9,125,129,670,24,2019,154,488,264,627,174,36,18,31,3,707,130,140,207,46,236,98,394,433,1806,289,105,79,44,8,23,5,85,442,1243,3161,340,85,104,142,173,1,27,831,77,41,127,957,376,209,154,1247,31,22,17,857,70,220,166,947,92
H 1  0  0  0  1  1 ,397,25,2,8,145,164,73,97,163,16,7,66,4519,19,34,66,4966,847,4315,156,152,810,436,9,1915,13426,989,186,70,32,389,4895,231,102,173,1910,909,1833,18,87,1917,1907,171,23,1935,89,363,395,3,154,400,2,781,140,37,46,6,811,419,432,61,173,356,32
H 1  0  0  1  1  1 ,3572,6,56,10,177,164,8,197,222,13,28,276,1272,17,349,190,859,1979,1142,124,183,2553,87,18,1549,898,81,217,265,9,84,889,107,178,114,1345,60,2068,34,297,1438,1384,149,18,1002,201,103,78,22,160,131,29,2517,163,15,345,15,1718,144,83,250,142,107,13
H 1  1  1  1  1  0 ,226,236,60,6,134,148,114,37,1272,86,206,313,940,56,113,51,123,72,895,159,132,650,45,98,295,435,217,1101,387,20,46,139,13,41,10,253,185,2148,781,304,223,291,158,77,36,39,563,60,26,127,525,175,725,121,218,98,24,73,470,44,337,137,483,37
H 1  1  1  0  1  0 ,20,661,1,8,149,159,970,13,870,61,35,82,3066,77,12,31,509,22,3321,133,156,200,240,85,340,6752,2346,859,101,133,236,587,29,14,29,300,2252,2050,453,79,327,331,150,55,59,15,1504,222,4,161,1402,38,239,164,564,8,5,21,1307,287,108,137,1296,117
H 0  0  0  1  1  0 ,190,478,116,25,179,182,198,67,1170,167,360,373,733,101,124,57,116,77,650,173,190,468,56,168,233,403,318,1231,460,57,91,131,23,74,19,211,242,1435,1185,372,212,237,160,135,37,62,558,96,63,173,559,296,558,206,484,139,68,62,543,71,396,160,544,80
H 0  1  0  0  0  1 ,644,75,68,9,132,118,30,113,411,60,132,310,476,37,226,93,138,247,441,116,116,826,54,55,325,238,95,413,287,14,76,177,28,97,41,293,68,1096,182,284,328,352,103,26,86,68,170,46,12,90,191,124,897,139,77,211,36,222,150,47,282,108,180,11
H 0  0  1  0  1  1 ,0,7189,4,19,139,146,10805,11,2783,221,134,70,2743,174,2,4,154,2,3042,170,153,50,233,257,75,6003,7358,2763,96,390,226,178,6,6,7,93,7142,1689,5097,65,81,113,140,247,4,2,4132,279,2,134,4688,153,50,131,6333,2,12,3,4045,248,88,123,4579,369
H 0  0  1  1  1  1 ,26,3148,59,11,121,123,1190,12,3964,270,692,276,781,245,33,12,21,8,797,143,146,212,61,307,62,415,651,3692,378,107,60,31,4,13,8,80,602,2067,8760,355,81,81,133,233,0,15,1461,57,11,142,1662,669,203,149,2780,35,21,3,1404,50,335,133,1566,98
H 1  1  0  0  0  0 ,5399,7,68,33,168,158,6,295,141,19,35,296,659,20,590,237,776,2978,659,142,171,2460,51,20,1420,473,31,140,259,9,84,843,165,250,165,1231,57,1233,17,261,1367,1214,163,18,1357,318,80,75,26,146,64,26,2303,134,8,590,31,2576,81,83,281,170,72,3
H 1  0  0  0  0  0 ,3926,6,49,46,205,192,7,385,149,19,20,272,984,14,463,286,1212,2907,826,160,166,1964,157,25,1577,844,41,153,241,16,147,1129,233,267,208,1426,79,1174,18,270,1621,1381,164,17,1970,352,97,117,56,218,90,37,1820,148,13,440,50,2433,120,114,226,167,100,10
