RowId,V 0  1  1  0  0  1 ,V 0  1  1  1  0  1 ,V 0  1  0  0  0  0 ,V 0  1  0  1  0  0 ,V 1  0  1  1  1  1 ,V 0  1  0  0  1  0 ,V 0  1  0  1  1  0 ,V 1  1  0  1  0  1 ,V 1  1  0  0  0  1 ,V 0  0  1  1  1  0 ,V 1  0  0  0  1  0 ,V 1  0  1  1  0  1 ,V 1  0  1  0  0  1 ,V 1  0  1  0  1  1 ,V 1  0  0  1  1  0 ,V 0  0  1  0  1  0 ,V 0  0  0  1  0  1 ,V 0  1  0  1  0  1 ,V 0  1  1  1  0  0 ,V 1  1  1  0  0  1 ,V 0  1  0  1  1  1 ,V 1  0  0  1  0  0 ,V 0  0  1  1  0  0 ,V 1  1  0  1  0  0 ,V 0  0  1  0  1  1 ,V 0  0  0  1  1  0 ,V 1  1  1  0  1  0 ,V 0  1  1  0  1  1 ,V 1  0  1  0  1  0 ,V 1  0  1  0  0  0 ,V 1  0  0  0  1  1 ,V 1  1  0  0  1  1 ,V 0  0  0  1  0  0 ,V 0  0  1  0  0  1 ,V 0  0  0  0  0  0 ,V 1  0  0  1  0  1 ,V 1  1  1  0  0  0 ,V 1  0  0  0  0  1 ,V 0  0  1  1  0  1 ,V 0  1  1  1  1  0 ,V 0  1  1  0  1  0 ,V 1  1  1  1  0  1 ,V 0  0  0  1  1  1 ,V 0  0  0  0  1  1 ,V 1  1  1  1  1  1 ,V 1  1  1  0  1  1 ,V 1  1  0  1  1  0 ,V 1  1  0  0  1  0 ,V 0  0  1  0  0  0 ,V 0  1  1  0  0  0 ,V 0  1  0  0  0  1 ,V 0  0  0  0  0  1 ,V 1  0  1  1  1  0 ,V 0  1  0  0  1  1 ,V 1  0  0  0  0  0 ,V 1  1  0  0  0  0 ,V 0  0  1  1  1  1 ,V 0  1  1  1  1  1 ,V 1  0  1  1  0  0 ,V 1  1  1  1  0  0 ,V 0  0  0  0  1  0 ,V 1  1  1  1  1  0 ,V 1  0  0  1  1  1 ,V 1  1  0  1  1  1 
H 0  0  1  1  0  1 ,17553,27713,39760,725,6925,7288,3455,3126,136721,12177,102069,51933,10646,10892,23666,3049,812,2119,11281,7754,7662,33113,918,12816,4894,2317,2442,128523,60208,1661,1032,945,476,3069,444,4741,2301,80114,271973,56753,4356,5168,7241,11351,370,3087,16976,1109,4878,6672,17069,92874,36222,7178,27003,25404,4923,2283,15870,1016,55285,6882,16170,1492
H 1  0  0  0  0  1 ,300673,613,2310,1071,8937,8392,336,17537,6702,925,1413,12341,51599,931,23405,15425,72057,203790,45747,7406,8484,135193,6087,805,97599,43722,3133,6437,11443,497,5806,70190,11065,15056,11081,89347,3058,66788,1173,11758,100928,85528,7649,915,131141,16783,4626,5608,1224,9066,4209,1402,130692,7854,611,23049,1597,176989,4746,5863,11828,8214,4201,516
H 1  1  1  0  0  0 ,21200,5659,2884,736,7449,7525,2885,3783,29615,3122,6449,14428,38520,2929,7293,3632,9399,9570,36244,6865,7608,36723,3538,2896,19313,23917,7232,29809,15106,1447,3593,9653,1718,3535,1884,17317,7310,73707,15191,14671,18182,17528,7008,2856,4625,3767,15015,3570,1399,7272,14087,6488,37123,6842,6174,7251,1401,8795,15050,3544,14360,6751,14391,1414
H 0  0  0  1  0  0 ,143283,4896,69693,1606,9857,9904,886,14406,42731,7501,49798,61359,9310,7183,94542,13488,2423,20375,9086,9186,9882,83578,1577,7413,13465,2488,1216,43095,63977,1159,1645,2391,2112,12986,2229,12148,1372,56945,39676,62203,13157,12472,9135,6753,3186,14148,6638,1610,9769,9503,6248,47796,85394,8862,5176,93972,10623,18363,6927,1605,60001,9006,6360,1132
H 0  0  0  0  1  0 ,1870,58660,756,1731,10287,10050,104438,1564,45286,7162,4366,5958,122660,7197,1062,1532,30277,2405,128432,10884,10094,8909,19635,7717,15327,301475,158477,45820,5931,12650,19411,31122,2553,1593,2491,15747,159134,65945,38983,6024,15266,15551,10513,7345,3967,1574,81331,19039,941,10818,83892,4311,8778,10637,56225,1081,984,2285,82366,18809,6086,10717,84559,12881
H 1  1  1  1  0  0 ,177062,2473,35173,535,7233,7323,361,9437,41582,3608,28475,51537,11679,3339,73961,8641,2096,21230,11312,6786,7474,111726,891,3329,16025,2327,811,40564,57656,474,985,2351,1232,9115,1187,13784,863,85037,24682,55084,14826,14720,6756,3073,2642,9792,5628,997,4079,6815,5330,26807,119959,6414,2619,76668,4503,18979,5591,970,53252,6482,5118,446
H 0  0  0  0  0  0 ,17711,11261,5840,2044,10005,10203,6430,5863,30605,6397,11171,18027,29465,6517,9748,5594,10170,9381,29454,9439,9547,27643,6316,6174,16042,22032,10345,32218,16240,3528,5962,10026,3203,5241,3248,15689,10554,49623,24092,16736,16099,15511,10082,6266,5256,5455,17496,5619,3433,10457,16982,11625,27237,9416,11577,9417,3550,8908,18503,5763,16546,10136,17891,3688
H 1  0  0  1  0  1 ,2723713,234,24858,809,9265,8745,86,46972,9011,1014,5266,43942,16050,896,243641,39440,14550,470627,13943,7715,8686,432446,1601,937,83226,3826,365,8929,45563,231,1544,14974,7836,40262,7568,70693,359,79412,1630,43742,82233,71124,7263,967,74646,46887,1947,1577,4102,8524,1749,4915,435011,7612,355,250926,4923,398996,1907,1451,44282,7356,1518,217
H 0  0  1  0  0  1 ,2781,65935,3244,762,7420,7435,31105,1279,95064,10342,21750,14513,33796,9610,2640,1364,3050,1031,35995,7867,7433,11391,3825,10855,5561,22473,23289,93967,15358,5160,3814,3212,725,1374,671,5885,23379,67796,160945,14870,5541,6066,7796,10034,541,1316,45471,3984,1887,7161,47899,20822,11469,7752,62576,2725,1575,1240,45062,3802,14669,7450,47656,4873
H 1  0  0  0  1  1 ,21454,2065,329,867,9647,8931,4287,4267,9484,965,599,4206,218019,972,2068,4048,236464,44258,209978,8578,9027,42172,20709,946,95889,637803,46537,9470,4329,1950,20102,234967,8921,4007,8852,91038,46194,90877,1663,4135,96534,90567,8592,1049,96583,4244,20824,20200,429,9097,19534,621,40894,8864,2037,2050,424,41438,20428,20728,4446,8752,19049,1925
H 1  0  0  1  1  1 ,172035,870,2119,641,9089,8477,502,10220,12557,1047,1940,13608,61951,1013,16827,9256,44652,94431,57769,8162,9086,122333,4584,985,76210,44915,4228,11775,14920,605,4727,46545,6140,9904,5553,67533,3957,100523,2083,14239,73188,69284,7870,937,51455,10635,7205,4977,1067,8134,6856,1770,125170,7925,992,17742,1251,85858,6947,4900,14134,7688,6416,549
H 1  1  1  1  1  0 ,12257,12457,2821,451,7566,7307,5050,2194,61448,3916,10178,16448,46833,3690,5308,2232,5758,4451,46294,7857,7734,32936,2746,4002,15035,24661,10296,56824,19209,1672,2895,6550,948,2333,865,13518,9602,111674,38392,17628,13295,14511,7239,3480,1885,2197,25069,3290,1142,6919,23921,9202,36140,7011,12892,5678,1203,4355,23249,2904,17317,6647,22818,1544
H 1  1  1  0  1  0 ,2050,30895,392,545,7926,7720,47313,961,44777,3619,2519,4897,162367,3329,775,938,29694,2341,164332,7953,8121,11331,12081,3675,18200,335395,114357,43657,5458,5478,12279,31517,1486,1011,1366,17153,110757,100147,23727,5095,17557,18280,7757,3412,3220,986,70362,12587,485,7627,70008,2414,12082,7804,30067,772,422,2270,68258,12022,5103,7559,68630,5139
H 0  0  0  1  1  0 ,10477,24217,5558,1296,9861,9954,10975,3597,62271,8336,18359,19784,35948,7798,7238,3370,6287,4541,36409,10479,9999,25269,4755,8433,12545,22881,14141,60200,21478,3834,4707,6786,1684,3454,1644,12090,13963,74386,62883,20514,11795,12910,10058,7996,2208,3367,29550,5068,2837,9500,29019,16950,26288,9549,23591,7380,2753,4176,28930,4689,20049,9291,28406,3626
H 0  1  0  0  0  1 ,33842,3694,4257,767,6815,6823,1649,4853,22114,2670,6520,15481,25315,2478,11313,4795,7865,13162,24869,6668,6633,40840,3049,2708,17923,13942,4064,22261,15837,1237,2947,8274,1976,4711,2105,16978,4170,57847,11062,15461,17803,17763,6918,2477,5352,4793,9242,2917,1808,6442,9375,6408,42257,6482,3735,11265,1845,12424,9636,2631,15132,6500,9544,1046
H 0  0  1  0  1  1 ,572,353562,410,750,7534,7166,520285,395,138714,11472,8103,4733,136263,10355,348,416,8862,371,156320,8751,7574,3880,12006,12839,5347,302983,365299,131869,5468,18771,12229,9543,500,434,533,5679,346219,89051,253928,5204,5041,6020,8186,12392,422,396,207885,12688,572,6833,234967,7502,4026,8159,308944,435,497,361,198537,11992,5240,7677,220957,17826
H 0  0  1  1  1  1 ,1584,148941,3234,553,7460,7194,56373,737,199027,13852,36731,16786,41737,12032,1832,821,1974,538,45984,9026,7901,10291,2897,15487,4553,23866,33556,182812,20325,5958,2909,2223,390,887,350,4524,30720,105250,431453,18258,4220,5109,7668,13732,277,817,77074,3467,1397,6488,84623,32818,11715,7908,136162,1986,1243,631,70445,2939,18016,7038,76954,5159
H 1  1  0  0  0  0 ,270204,681,3664,1166,8650,8735,474,17182,7973,1321,2213,15416,37135,1218,28939,14615,39743,144019,32650,7490,8375,122269,4819,1090,70466,24620,2513,8127,14210,650,4648,39169,8411,13898,8588,61703,2617,62089,1825,14606,70915,61792,7562,1094,71092,16236,4645,4217,1872,8654,4114,1999,120244,7513,807,27806,2134,123891,4772,4364,14494,7857,4181,645
H 1  0  0  0  0  0 ,198977,969,3336,1779,11081,10353,649,18505,8409,1623,2089,14329,46651,1677,23707,15912,59799,140782,41150,8690,9916,105559,7662,1363,76960,41671,4209,8558,12988,920,7084,57649,11959,15175,12350,71583,4535,58666,2086,13651,80891,67271,9019,1463,93734,17307,6441,6605,2215,11210,5494,2314,98970,9198,1178,22859,2514,121519,6596,7306,13684,9650,5740,1137
H 0  0  0  0  0  1 ,25394,5559,3925,1210,8421,8350,2993,5275,23430,3603,6491,14878,31852,3408,9370,5014,11758,12887,31377,8084,8146,35467,4895,3613,20032,22858,7443,23352,14722,1910,4409,11808,2790,5084,3046,19090,7390,55307,12776,14449,19853,18923,8088,3439,6868,5149,13164,4537,2180,8400,12987,6618,35382,7876,5572,9377,2186,12414,13564,4510,14465,8152,12961,2002
H 0  0  0  0  1  1 ,2381,28495,429,947,8662,8540,49289,1381,34677,3904,2673,5108,134732,3873,911,1349,36522,2907,142456,9104,8457,11321,15851,4334,18889,320823,113636,34571,5227,7027,15199,38083,2271,1432,2298,19263,110915,75376,20256,5138,18701,19924,9112,4154,4881,1348,59688,15647,735,8368,62912,2521,11286,8882,27672,944,593,3287,59208,15737,5064,8554,61562,6981
H 1  1  1  1  0  1 ,266822,1207,23099,377,6120,6111,193,9037,32509,2085,16549,43976,12442,1748,72071,8257,2523,29809,12049,5988,6590,143714,625,1865,20274,2293,598,30044,51156,246,759,2724,1084,8615,1011,16565,580,96852,12662,47451,18126,18511,5536,1753,3289,9484,4127,827,2699,5411,3934,15394,157914,5319,1404,77430,2836,27119,3942,699,46768,5218,3646,242
H 0  1  0  0  1  1 ,2913,18260,541,692,7036,7127,24239,1244,32822,3026,2624,5125,104521,2767,1031,1210,23940,3114,109671,7563,7297,12866,9350,3375,17141,189128,61302,32201,5767,4005,9770,25890,1594,1286,1590,16964,59426,77841,17277,5485,16495,17908,7250,3097,3891,1283,43346,9793,564,6598,44650,2440,13381,7179,17786,1106,568,3077,42279,9436,5333,6879,44071,3718
H 0  1  1  0  0  0 ,2500,90031,5437,991,7236,7739,33359,1427,121219,13722,38427,18390,25229,12864,3240,1363,2030,919,26690,8011,7439,10483,3088,14785,4473,13372,18274,121196,19496,5440,3093,2088,620,1310,605,4214,18291,64349,285113,19279,4296,4668,8031,13781,463,1319,45156,3172,2107,6981,46985,35831,10933,7290,85837,3185,2148,1013,45455,2815,18127,7213,47278,5099
H 0  0  1  0  0  0 ,2085,137558,5297,1472,8798,8889,67339,1446,125361,18217,37348,17684,31760,17415,2757,1615,2841,1018,33913,9149,8880,9287,5066,19175,4830,22013,33051,127386,17859,9085,4839,2841,829,1385,852,4960,33331,61311,324544,17448,4813,4946,9169,18698,622,1368,63141,4619,2751,8709,65265,36968,9088,8982,131262,2792,2549,1001,63298,4842,17134,9216,65578,9259
H 1  0  0  0  1  0 ,14758,4086,429,1385,11507,10846,9133,4456,12468,1727,941,5036,201850,1861,2110,4352,195180,30920,191720,10037,10636,32634,26528,1694,75708,601799,65046,12386,4872,3591,24786,190398,9761,4230,9826,73380,66198,80889,2980,4794,78622,70762,10048,1672,68830,4356,28145,24385,651,11302,26276,1086,30828,10413,4562,2201,710,28470,29028,25091,5016,10631,26948,3912
H 1  1  1  1  1  1 ,17884,6193,1896,328,6045,6104,2432,2134,46281,2214,5992,13965,50010,1965,5173,2058,7009,6465,50415,6693,6787,41830,2146,2243,18360,25876,7428,42041,16904,898,2365,7803,794,2195,772,16137,6561,125489,19247,15605,16384,18449,6008,1875,2415,2202,18391,2696,748,5437,17760,5332,47096,5866,6124,5733,726,6264,16879,2301,15055,5428,16255,754
H 1  0  1  1  1  1 ,13883,9179,1774,449,7646,7195,4601,2260,49259,2944,5914,13025,64555,2726,4275,2207,10462,6342,64428,7996,7793,36174,3557,3220,20072,43105,13266,44081,15661,1614,3779,11519,1400,2341,1087,18454,12062,121739,22386,14432,18617,19761,7251,2620,3205,2421,25067,4172,834,6923,25283,5602,39022,7598,9218,4725,871,6185,22909,3848,13963,6732,22685,1358
H 1  0  1  1  0  1 ,197359,1822,20533,506,7377,7349,318,9698,33808,2675,16290,41250,16273,2486,58155,8938,3744,29553,15064,7342,7768,123982,1141,2533,21571,3534,1035,32257,46172,401,1181,3787,1560,9468,1450,19189,1015,92244,14392,43561,20493,20263,6618,2457,4421,9935,5776,1203,3098,7047,5241,15609,129282,6636,1990,62130,3449,26884,5463,1193,43397,6420,5172,416
H 0  1  1  0  1  0 ,591,477072,607,793,7150,7331,556145,382,174593,15378,13461,6193,99774,13878,441,442,4928,356,111679,8348,7655,3555,9272,17538,4248,170525,278563,167802,6572,19889,9819,5432,433,474,484,4303,269280,81767,443284,6286,3815,4444,8174,15978,338,348,204749,10163,709,6920,228590,12520,3599,7828,427276,433,600,360,199816,9345,6225,7530,219932,18306
H 0  0  1  0  1  0 ,524,729194,520,1105,8814,8702,1122483,431,181519,19943,13407,5565,125113,18765,386,481,7348,374,141338,10335,9123,3158,15077,23111,4406,286105,510484,176933,6152,34366,15226,7855,691,511,596,4774,498149,78586,508187,6032,4323,4771,10095,21857,384,392,283488,15548,832,8530,315851,12817,3116,9711,649174,455,778,440,278198,14971,5763,9715,307869,32712
H 1  1  0  0  1  0 ,19245,2855,434,956,8985,9219,4305,4157,11847,1278,861,5112,155533,1289,2356,3871,126142,30664,146604,8374,9138,37131,15860,1301,68259,351426,34957,11583,5162,2068,15382,129729,6749,3722,6717,62819,35117,83339,2360,5122,67151,63195,8252,1248,51787,4021,20361,15512,584,8778,18889,993,37484,8408,2923,2505,650,28529,20449,15263,5088,8613,18730,2031
H 0  1  1  1  0  1 ,23187,18250,45093,417,5813,6067,1716,2847,130296,9040,103465,54333,8642,7998,29114,2814,555,2280,8802,6306,6430,38278,584,9814,4431,1582,1412,120687,66396,970,717,635,328,2968,355,3842,1310,81916,236016,61595,3884,4551,6120,8410,332,3040,12174,719,4306,5303,12528,90748,43421,5689,17698,31113,4076,2083,11346,624,57643,5497,11925,768
H 0  1  1  0  0  1 ,3311,43555,3730,579,5666,6226,15163,1154,90456,7737,22030,15414,26771,7019,3103,1270,2161,1037,29003,6453,6170,13000,2228,8291,5198,13712,13145,89023,16841,2833,2506,2190,478,1245,522,5125,12508,71440,140172,16769,4830,5541,6496,7654,449,1158,32935,2440,1377,5547,34680,20344,14097,6175,41147,3077,1342,1191,32116,2413,15300,5971,33299,2829
H 0  1  0  0  1  0 ,2183,38077,796,1069,8524,8809,51451,1349,42911,5624,4225,6226,96258,5285,1132,1377,20128,2153,100986,8567,8432,10088,11731,5561,14166,177560,85294,43057,6619,7508,12229,21315,1823,1415,1783,13623,84571,68208,33596,6555,13500,14126,8814,5459,2908,1356,58982,11884,895,8281,60208,4073,10531,8408,36900,1153,754,2254,59448,11668,6114,8313,60020,6911
H 0  1  0  1  0  0 ,193033,3251,77985,1118,8131,8493,483,13506,40468,5778,51201,64581,7644,5058,116530,12238,1657,20162,7149,7690,8030,96879,1054,5349,12481,1649,732,40738,70368,794,1146,1775,1590,12363,1671,10591,827,59042,34825,69837,11660,11679,7574,4966,2298,13126,5141,1088,8052,7439,4565,46634,104171,7170,3431,117214,8986,18501,4926,872,64544,7206,4613,628
H 0  1  0  1  1  0 ,13594,15871,6554,857,8086,8475,5514,3154,59401,6289,17796,20319,28584,5433,8520,3121,4107,4607,28791,8431,8594,28845,2768,6741,11453,13799,7916,56850,23637,2344,2997,4625,1165,3267,1138,10508,7694,76705,54762,22218,10268,11328,8100,5985,1703,3167,21209,3289,2268,7205,21555,16436,31280,7913,15832,8854,2152,4362,20596,2913,21358,7401,20033,2107
H 1  1  0  1  0  1 ,3706799,235,28678,543,7272,7189,70,44245,8657,823,5359,46742,13113,699,301812,36638,10002,484436,11045,6312,7269,504819,990,634,77076,2344,261,8496,50488,123,964,10644,5510,37965,5450,61749,273,82748,1310,49263,72362,65878,6361,614,57838,44298,1513,1085,3439,6880,1304,4933,531321,6070,215,312299,4353,409611,1389,934,47858,6006,1222,122
H 1  1  0  0  0  1 ,404329,449,2452,687,7217,7187,189,16277,6247,731,1315,12791,39705,663,28373,13908,47678,208871,35859,6420,7360,157499,3870,631,89552,25811,1766,6349,12812,373,3507,48438,7693,13652,7902,78359,1708,69759,1043,12689,88201,78343,6489,629,100639,15733,3475,3496,1194,7137,2963,1305,156677,6348,436,27827,1257,180586,3559,3712,12202,6131,3209,328
H 0  1  1  1  1  1 ,1818,98380,3577,367,5723,6228,27993,695,191542,10594,36984,17600,33252,8886,2305,645,1350,505,36345,7274,6720,11526,1808,11673,4295,14521,18158,173896,22654,3318,2003,1565,246,833,258,3775,16390,108488,378029,19814,3512,4571,6647,9988,209,762,56672,2199,1239,5193,60345,31895,13623,6426,88920,2438,1130,603,51376,1942,19521,5740,54756,2784
H 1  0  1  1  1  0 ,9476,18986,2554,742,9138,8870,10083,2289,64037,5454,10241,15337,59774,4914,4467,2287,9014,4608,59003,9507,9525,28892,4713,5314,16323,41460,18415,60407,17409,2766,4628,9472,1297,2507,1284,15210,17318,107285,44494,16290,15583,15881,8483,5043,2245,2557,34692,5039,1228,8350,33719,9693,29991,8759,19212,4917,1367,4462,31987,4721,16659,8380,31239,2638
