RowId,V 0  1  1  0  0  1 ,V 0  1  1  1  0  1 ,V 0  1  0  0  0  0 ,V 0  1  0  1  0  0 ,V 1  0  1  1  1  1 ,V 0  1  0  0  1  0 ,V 0  1  0  1  1  0 ,V 1  1  0  1  0  1 ,V 1  1  0  0  0  1 ,V 0  0  1  1  1  0 ,V 1  0  0  0  1  0 ,V 1  0  1  1  0  1 ,V 1  0  1  0  0  1 ,V 1  0  1  0  1  1 ,V 1  0  0  1  1  0 ,V 0  0  1  0  1  0 ,V 0  0  0  1  0  1 ,V 0  1  0  1  0  1 ,V 0  1  1  1  0  0 ,V 1  1  1  0  0  1 ,V 0  1  0  1  1  1 ,V 1  0  0  1  0  0 ,V 0  0  1  1  0  0 ,V 1  1  0  1  0  0 ,V 0  0  1  0  1  1 ,V 0  0  0  1  1  0 ,V 1  1  1  0  1  0 ,V 0  1  1  0  1  1 ,V 1  0  1  0  1  0 ,V 1  0  1  0  0  0 ,V 1  0  0  0  1  1 ,V 1  1  0  0  1  1 ,V 0  0  0  1  0  0 ,V 0  0  1  0  0  1 ,V 0  0  0  0  0  0 ,V 1  0  0  1  0  1 ,V 1  1  1  0  0  0 ,V 1  0  0  0  0  1 ,V 0  0  1  1  0  1 ,V 0  1  1  1  1  0 ,V 0  1  1  0  1  0 ,V 1  1  1  1  0  1 ,V 0  0  0  1  1  1 ,V 0  0  0  0  1  1 ,V 1  1  1  1  1  1 ,V 1  1  1  0  1  1 ,V 1  1  0  1  1  0 ,V 1  1  0  0  1  0 ,V 0  0  1  0  0  0 ,V 0  1  1  0  0  0 ,V 0  1  0  0  0  1 ,V 0  0  0  0  0  1 ,V 1  0  1  1  1  0 ,V 0  1  0  0  1  1 ,V 1  0  0  0  0  0 ,V 1  1  0  0  0  0 ,V 0  0  1  1  1  1 ,V 0  1  1  1  1  1 ,V 1  0  1  1  0  0 ,V 1  1  1  1  0  0 ,V 0  0  0  0  1  0 ,V 1  1  1  1  1  0 ,V 1  0  0  1  1  1 ,V 1  1  0  1  1  1 
H 0  0  1  1  0  1 ,692,246,175,37,171,201,119,119,880,129,311,384,604,109,208,131,159,206,584,266,201,647,82,134,347,437,178,765,493,60,108,195,50,115,68,293,177,1245,711,469,255,396,229,112,86,133,386,115,78,166,393,219,813,197,236,281,71,218,286,127,407,189,356,47
H 1  0  0  0  0  1 ,1054,170,167,44,276,210,90,211,607,103,189,507,772,129,376,168,329,474,676,215,238,998,143,81,568,651,192,555,353,56,131,317,122,176,101,508,203,1137,359,395,585,446,194,146,228,170,347,113,89,269,276,207,851,252,147,299,87,396,364,164,450,248,294,104
H 1  1  1  0  0  0 ,730,212,156,55,254,286,136,158,587,151,264,516,710,167,304,149,288,309,707,181,263,798,137,133,438,622,234,643,444,81,174,279,86,119,93,441,223,1200,578,396,467,428,204,162,180,173,352,145,84,280,382,254,779,243,216,228,101,296,464,140,396,239,369,78
H 0  0  0  1  0  0 ,1195,326,294,120,391,349,174,340,782,278,477,606,663,202,512,276,296,500,666,402,401,964,177,195,514,555,251,728,703,136,243,304,158,263,170,527,285,1219,875,720,510,525,334,222,260,319,430,220,199,341,395,406,1025,329,319,511,177,464,505,212,588,356,360,126
H 0  0  0  0  1  0 ,603,467,184,128,394,296,395,229,820,309,328,437,919,296,242,219,496,346,915,328,344,623,309,243,522,1106,546,792,407,200,333,460,195,228,152,537,543,1147,899,444,558,523,323,304,255,210,645,279,169,400,651,354,606,407,447,251,145,305,604,314,484,370,617,231
H 1  1  1  1  0  0 ,837,147,152,38,179,196,53,107,601,124,244,359,570,100,279,137,157,282,569,181,201,764,65,107,414,436,137,561,404,48,108,176,59,122,65,364,149,1117,511,459,388,390,179,104,122,125,311,103,44,210,266,204,894,160,153,280,69,235,354,73,343,173,294,49
H 0  0  0  0  0  0 ,1019,490,374,217,477,483,337,446,855,323,458,711,816,379,529,332,537,530,771,451,398,886,360,316,553,971,415,828,569,299,364,469,289,345,300,593,404,1094,980,603,675,589,470,358,345,339,579,363,271,529,539,489,814,438,480,493,221,438,638,353,560,523,576,271
H 1  0  0  1  0  1 ,1274,86,143,28,220,182,43,151,508,82,154,452,570,68,368,138,210,372,571,223,178,1031,84,101,475,404,98,578,420,41,83,225,61,138,55,427,91,1280,382,400,550,464,173,85,148,162,223,76,55,216,234,166,1013,176,117,321,64,364,262,62,491,173,196,37
H 0  0  1  0  0  1 ,557,362,182,40,240,279,160,121,861,157,296,405,696,191,251,133,274,188,860,297,273,626,165,188,388,722,332,822,471,97,144,253,84,158,94,442,328,1191,853,438,369,396,216,181,134,146,471,140,113,242,514,301,644,299,278,217,110,251,451,177,431,292,573,111
H 1  0  0  0  1  1 ,599,182,74,32,237,183,101,124,560,88,114,290,806,90,165,120,316,295,787,171,138,701,97,83,423,786,202,527,315,64,101,275,78,117,71,473,214,1255,419,264,478,407,180,88,156,134,393,150,49,164,356,156,581,231,151,178,58,239,356,160,379,219,333,60
H 1  0  0  1  1  1 ,683,118,86,17,159,124,60,94,487,49,144,271,627,59,163,96,188,236,640,159,161,820,54,60,377,507,126,520,292,42,61,181,45,105,48,354,107,1273,275,266,442,345,145,61,124,93,263,88,37,151,280,146,782,174,105,213,31,249,245,67,360,136,244,29
H 1  1  1  1  1  0 ,536,161,71,19,182,143,78,53,596,76,164,229,639,100,154,94,167,155,652,175,182,586,77,91,340,508,142,620,318,48,83,213,26,87,39,276,142,1244,462,276,280,339,163,66,95,75,332,75,29,133,310,145,693,156,129,162,37,152,289,71,276,120,299,25
H 1  1  1  0  1  0 ,458,255,75,32,214,210,149,88,634,126,157,289,773,108,141,90,256,208,789,211,242,617,128,108,377,862,321,663,246,70,139,236,76,98,83,361,261,1208,533,294,376,359,219,99,145,116,403,141,57,220,408,191,502,186,229,160,37,202,436,123,278,211,379,72
H 0  0  0  1  1  0 ,717,335,217,80,296,266,182,206,749,177,287,480,691,189,255,193,303,320,742,348,306,749,169,183,431,711,306,752,493,139,175,278,103,174,101,407,306,1169,777,502,350,443,311,188,161,169,460,213,124,291,506,295,748,273,308,262,115,285,452,187,454,311,465,90
H 0  1  0  0  0  1 ,798,229,168,50,241,318,156,193,716,154,301,468,692,152,323,152,283,305,683,270,237,747,168,165,498,643,234,672,484,91,168,308,97,159,116,472,298,1170,640,458,463,475,314,181,196,200,351,198,86,238,433,273,858,279,219,323,103,379,401,135,390,291,443,68
H 0  0  1  0  1  1 ,361,426,97,36,200,179,206,66,855,132,198,312,726,123,101,90,215,141,877,246,184,578,137,130,317,880,412,743,381,100,136,217,54,92,62,363,358,1264,828,277,307,423,248,123,124,82,503,155,63,185,619,213,533,265,279,155,72,153,408,158,345,244,536,105
H 0  0  1  1  1  1 ,312,280,83,24,160,137,98,53,820,98,175,233,603,90,105,64,141,107,734,226,159,505,76,118,289,513,232,654,358,49,76,205,31,91,51,302,168,1288,680,289,245,297,190,78,79,53,350,99,65,140,426,163,606,195,241,149,27,148,337,84,276,161,373,52
H 1  1  0  0  0  0 ,1163,171,199,76,336,357,153,266,568,188,254,596,783,164,452,207,379,565,616,244,297,960,211,137,631,705,224,638,430,102,188,375,178,211,179,611,280,1165,468,438,614,517,252,132,323,246,376,149,115,339,326,252,900,278,225,356,128,446,398,163,474,263,321,128
H 1  0  0  0  0  0 ,1303,238,258,128,423,331,140,336,616,215,286,585,820,230,507,319,489,633,692,300,324,1058,319,117,578,750,229,648,405,125,201,435,186,249,201,601,300,1123,562,507,827,531,269,213,293,328,444,208,142,449,344,334,874,357,260,450,192,516,479,232,553,373,372,142
H 0  0  0  0  0  1 ,884,280,238,93,284,351,175,223,747,197,297,555,743,220,314,218,350,392,759,302,320,893,213,212,561,733,295,724,452,127,200,307,118,223,153,467,303,1075,745,499,497,532,322,190,255,256,446,218,151,318,472,343,852,314,295,335,127,385,436,204,548,317,418,144
H 0  0  0  0  1  1 ,554,320,110,61,256,264,194,124,738,166,219,379,797,139,195,141,275,237,878,260,237,648,163,180,389,845,395,678,342,111,164,371,86,149,66,501,336,1162,644,336,392,458,282,196,165,130,467,191,81,240,506,236,662,299,320,218,70,248,443,199,383,230,490,94
