
	,H 0  0  1  1  0  1 ,	H 1  0  0  0  0  1 ,	H 1  1  1  0  0  0 ,	H 0  0  0  1  0  0 ,	H 0  0  0  0  1  0 ,	H 1  1  1  1  0  0 ,	H 0  0  0  0  0  0 ,	H 1  0  0  1  0  1 ,	H 0  0  1  0  0  1 ,	H 1  0  0  0  1  1 ,	H 1  0  0  1  1  1 ,	H 1  1  1  1  1  0 ,	H 1  1  1  0  1  0 ,	H 0  0  0  1  1  0 ,	H 0  1  0  0  0  1 ,	H 0  0  1  0  1  1 ,	H 0  0  1  1  1  1 ,	H 1  1  0  0  0  0 ,	H 1  0  0  0  0  0 ,	H 0  0  0  0  0  1 ,	H 0  0  0  0  1  1 ,	H 1  1  1  1  0  1 ,	H 0  1  0  0  1  1 ,	H 0  1  1  0  0  0 ,	H 0  0  1  0  0  0 ,	H 1  0  0  0  1  0 ,	H 1  1  1  1  1  1 ,	H 1  0  1  1  1  1 ,	H 1  0  1  1  0  1 ,	H 0  1  1  0  1  0 ,	H 0  0  1  0  1  0 ,	H 1  1  0  0  1  0 ,	H 0  1  1  0  0  1 ,	H 0  1  1  1  0  1 ,	H 0  1  0  0  1  0 ,	H 0  1  0  1  0  0 ,	H 0  1  0  1  1  0 ,	H 1  1  0  1  0  1 ,	H 1  1  0  0  0  1 ,	H 0  1  1  1  1  1 ,	H 1  0  1  0  1  0 ,	H 1  0  1  1  1  0 ,	H 1  0  1  1  0  0 ,	H 1  0  1  0  0  0 ,	H 0  1  1  0  1  1 ,	H 1  1  0  1  1  1 ,	H 1  1  0  0  1  1 ,	H 0  1  1  1  0  0 ,	H 1  0  0  1  0  0 ,	H 0  0  0  1  0  1 ,	H 0  1  0  1  0  1 ,	H 1  1  1  0  0  1 ,	H 0  1  0  1  1  1 ,	H 1  1  0  1  0  0 ,	H 0  0  1  1  0  0 ,	H 1  1  0  1  1  0 ,	H 1  0  0  1  1  0 ,	H 1  0  1  0  1  1 ,	H 1  1  1  0  1  1 ,	H 0  0  0  1  1  1 ,	H 0  1  0  0  0  0 ,	H 1  0  1  0  0  1 ,	H 0  1  1  1  1  0 ,	H 0  0  1  1  1  0 ,	
V 1  0  0  1  0  0  1  0  0  1  1  1 ,	20,	2,	3,	59,	5,	1,	0,	0,	6,	1,	23,	2,	3,	3,	95,	8,	2,	3,	1,	1,	2,	18,	3,	15,	0,	0,	0,	2,	1,	3,	0,	0,	6,	83,	3,	1,	7,	6,	1,	0,	2,	1,	7,	0,	3,	3,	1,	5,	2,	2,	0,	3,	0,	74,	1,	3,	9,	1,	2,	1,	0,	10,	4,	12,	
V 1  0  1  1  0  1  0  0  0  0  0  0 ,	53,	28490,	4,	38,	20,	2,	990,	1,	651,	242,	0,	3,	43352,	1,	1,	63,	5,	7,	214,	69,	2,	4,	0,	888,	9,	10,	3,	29,	6,	9,	1,	50,	29,	6,	4,	7,	6,	1,	1964,	1340,	635,	18,	9,	104,	44,	4,	3,	0,	4,	2,	74,	28,	27,	2,	4,	2881,	937,	23,	47,	3,	1,	9,	2,	7,	
V 0  1  0  1  1  1  1  0  0  0  0  0 ,	7,	507,	8,	7,	1,	12,	1961,	0,	36,	1,	0,	0,	19,	4,	1,	3,	6,	5,	10,	8,	2,	1,	3,	16,	0,	19,	2052,	2396,	2,	4,	1,	36,	14,	0,	3,	1,	5,	0,	398,	43,	544,	1,	8,	45,	509,	1,	1,	0,	52,	18,	1604,	65,	14,	1,	15,	12,	8,	13,	3,	3,	15,	0,	1,	1,	
V 0  0  0  0  1  0  0  0  0  1  0  0 ,	187,	7,	135,	39,	20,	416,	22,	45,	11,	11,	218,	127,	12,	91,	174,	17,	18,	48,	13,	22,	512,	24,	435,	44,	23,	45,	540,	96,	42,	21,	639,	18,	32,	182,	195,	41,	52,	517,	22,	17,	47,	15,	154,	44,	177,	183,	32,	119,	570,	95,	54,	93,	27,	55,	42,	22,	6,	17,	23,	46,	592,	43,	106,	18,	
V 0  0  1  1  0  0  1  0  1  1  1  0 ,	26,	3,	2,	78,	2,	3,	2,	3,	4,	5,	39,	1,	4,	8,	189,	6,	1,	2,	1,	2,	2,	16,	4,	9,	0,	3,	2,	2,	1,	1,	2,	3,	8,	118,	3,	0,	3,	8,	2,	1,	3,	4,	6,	0,	4,	5,	1,	1,	1,	3,	0,	3,	1,	102,	0,	4,	7,	0,	2,	1,	1,	20,	3,	5,	
V 1  1  1  0  1  1  1  1  1  0  1  1 ,	1,	0,	1,	0,	0,	2,	0,	0,	4,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	2,	0,	0,	0,	2,	1,	0,	0,	2,	0,	0,	0,	0,	1,	0,	0,	0,	2,	0,	0,	0,	0,	0,	1,	0,	0,	1,	0,	0,	0,	1,	0,	
V 1  0  1  0  0  0  0  0  0  0  0  0 ,	280,	8416,	6,	224,	451,	8,	389,	8,	958,	3014,	25,	11,	46798,	17,	7,	730,	8,	34,	582,	190,	2,	63,	9,	1937,	142,	22,	17,	28,	6,	25,	3,	71,	59,	46,	11,	19,	9,	2,	1208,	1767,	399,	93,	22,	286,	92,	8,	26,	8,	12,	13,	78,	75,	93,	28,	15,	6665,	4971,	36,	206,	39,	5,	135,	9,	333,	
V 1  0  1  0  1  1  0  1  1  1  1  1 ,	1,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	0,	0,	2,	3,	0,	2,	0,	0,	0,	1,	0,	2,	0,	0,	0,	1,	0,	0,	0,	1,	0,	2,	4,	1,	0,	1,	2,	0,	0,	1,	0,	6,	0,	0,	7,	2,	3,	1,	2,	1,	0,	0,	2,	0,	0,	1,	0,	0,	0,	0,	0,	3,	0,	
V 0  1  1  0  0  1  1  0  0  1  0  1 ,	15,	4,	3,	9,	0,	2,	1,	1,	5,	0,	7,	0,	2,	5,	3,	0,	2,	4,	1,	2,	1,	0,	5,	5,	0,	1,	2,	3,	1,	1,	2,	0,	9,	7,	1,	0,	3,	0,	4,	3,	4,	2,	5,	0,	5,	0,	2,	1,	1,	5,	1,	6,	2,	3,	0,	5,	3,	0,	3,	1,	2,	4,	2,	2,	
V 0  0  0  1  1  1  0  0  0  1  0  0 ,	37,	10,	17,	9,	4,	46,	23,	4,	8,	1,	4,	7,	13,	16,	9,	5,	8,	14,	5,	14,	13,	4,	16,	17,	4,	10,	298,	126,	1,	7,	21,	9,	19,	8,	28,	6,	13,	5,	15,	10,	44,	10,	26,	14,	123,	4,	3,	10,	98,	28,	39,	33,	5,	5,	14,	7,	4,	7,	4,	4,	39,	6,	12,	5,	
