RowId,H 0  0  1  1  0  1 ,H 1  0  0  0  0  1 ,H 1  1  1  0  0  0 ,H 0  0  0  1  0  0 ,H 0  0  0  0  1  0 ,H 1  1  1  1  0  0 ,H 0  0  0  0  0  0 ,H 1  0  0  1  0  1 ,H 0  0  1  0  0  1 ,H 1  0  0  0  1  1 ,H 1  0  0  1  1  1 ,H 1  1  1  1  1  0 ,H 1  1  1  0  1  0 ,H 0  0  0  1  1  0 ,H 0  1  0  0  0  1 ,H 0  0  1  0  1  1 ,H 0  0  1  1  1  1 ,H 1  1  0  0  0  0 ,H 1  0  0  0  0  0 ,H 0  0  0  0  0  1 ,H 0  0  0  0  1  1 ,H 1  1  1  1  0  1 ,H 0  1  0  0  1  1 ,H 0  1  1  0  0  0 ,H 0  0  1  0  0  0 ,H 1  0  0  0  1  0 ,H 1  1  1  1  1  1 ,H 1  0  1  1  1  1 ,H 1  0  1  1  0  1 ,H 0  1  1  0  1  0 ,H 0  0  1  0  1  0 ,H 1  1  0  0  1  0 ,H 0  1  1  1  0  1 ,H 0  1  1  0  0  1 ,H 0  1  0  0  1  0 ,H 0  1  0  1  0  0 ,H 0  1  0  1  1  0 ,H 1  1  0  1  0  1 ,H 1  1  0  0  0  1 ,H 0  1  1  1  1  1 ,H 1  0  1  1  1  0 ,H 1  0  1  0  1  0 ,H 1  0  1  1  0  0 ,H 0  1  1  0  1  1 ,H 1  0  1  0  0  0 ,H 1  1  0  0  1  1 ,H 1  1  0  1  1  1 ,H 0  1  1  1  0  0 ,H 0  0  0  1  0  1 ,H 1  0  0  1  0  0 ,H 0  1  0  1  0  1 ,H 1  1  1  0  0  1 ,H 0  1  0  1  1  1 ,H 1  1  0  1  0  0 ,H 0  0  1  1  0  0 ,H 1  1  0  1  1  0 ,H 1  0  0  1  1  0 ,H 1  0  1  0  1  1 ,H 1  1  1  0  1  1 ,H 0  0  0  1  1  1 ,H 0  1  0  0  0  0 ,H 1  0  1  0  0  1 ,H 0  1  1  1  1  0 ,H 0  0  1  1  1  0 
V 0  1  1  0  0  1 ,3726,3324,2639,3461,5157,4540,3730,3324,2720,3974,4707,3099,3564,3745,4507,5320,3430,4882,4587,4251,3499,3401,4361,3305,3644,4208,2771,4503,3095,4152,3965,4014,3069,3570,2975,4144,3772,3866,3239,4711,2947,3886,3619,3630,4228,3421,3489,3370,2984,4138,2822,5154,2995,3150,3710,3859,4621,4877,2918,3457,3429,4185,4222,3744
V 0  1  1  1  0  1 ,8086,1614,325,1843,13322,2586,6204,399,306,2514,2504,3748,1565,655,1029,10052,6185,7819,831,2464,624,461,1915,468,1988,8050,1125,3117,2028,3165,1954,751,4722,2468,411,6039,4803,1915,607,10238,493,2391,809,548,8083,4773,1115,1441,1475,2558,918,3323,1143,1228,1961,6183,3130,4001,1586,1487,1864,658,10392,1453
V 0  1  0  0  0  0 ,17365,11635,15540,15505,6166,64331,22015,83112,61219,4186,31131,63786,61070,16560,5789,23182,4365,90870,22377,31259,5505,64919,124607,21001,7665,5797,21922,16582,3273,3314,15721,22317,16299,12344,15849,21966,85859,23318,16755,23132,4233,6111,4502,21049,17387,16362,117961,29516,5820,12144,87228,16775,45330,21897,47993,67711,8122,4419,11622,91970,22887,87556,4704,29431
V 0  1  0  1  0  0 ,33599,4973,2018,7767,14282,31639,34120,8107,5704,2445,14855,71826,22748,2574,1353,41429,7115,141690,3569,16457,1054,7968,49677,2902,3724,10169,8730,10839,1820,2429,7080,3825,24070,7827,1877,30110,101371,10579,2801,47995,701,3577,955,2511,29552,21268,35588,11972,2603,6976,25554,9531,16209,7541,22751,100982,4906,3366,5601,35108,11816,11319,10047,10594
V 1  0  1  1  1  1 ,875,995,550,875,4743,413,742,197,164,4240,844,204,306,984,4202,1269,3136,355,1071,659,2892,234,226,629,2208,3313,404,1312,3901,5606,1191,848,673,1190,741,915,214,788,793,1049,2682,3105,3839,807,1133,794,145,484,2135,1430,123,1638,241,512,364,256,3151,6058,871,188,716,293,4301,597
V 0  1  0  0  1  0 ,1992,7896,24029,7464,2353,8604,2532,35692,30414,7398,10397,2602,9485,27264,25212,2996,2149,3015,31527,8273,27881,28050,10622,27909,9046,2504,7958,6914,6416,5934,9560,25324,2131,5933,30060,3270,3136,9083,22095,2378,24154,7233,21519,35345,2529,2722,11462,8945,7687,7332,9718,8517,8387,9752,7444,2604,8216,6901,6576,8990,7328,32673,2009,11268
V 0  1  0  1  1  0 ,3779,3470,3110,3819,5226,4406,3801,3630,3013,4422,5062,3034,3798,4120,5077,4999,3547,4364,5043,4499,4346,3594,4405,3731,4308,4532,3103,4675,3654,4248,4341,4481,3212,3779,3458,4393,3665,4071,3745,4508,3529,4300,4284,4307,4203,3515,3596,3715,3563,4240,3061,5210,3093,3501,3723,3572,5214,5248,3259,3552,3648,4352,4337,4309
V 1  1  0  1  0  1 ,1236,1255,885,1490,902,8649,1648,7321,3982,625,3980,3816,6388,1968,871,3616,376,9499,3660,2506,664,5406,10974,1713,580,633,1009,2153,330,473,2334,2223,933,1082,1411,2645,6957,2170,1265,2273,344,514,442,2601,1903,1391,7964,1896,388,1737,4402,3328,3522,1639,4819,5210,926,843,828,5940,1401,9902,472,2768
V 1  1  0  0  0  1 ,792,3468,8307,3497,561,19412,1266,84286,47860,1075,9087,3888,18708,14794,4737,2258,282,6861,25795,5232,4394,48787,30251,14425,1651,514,2885,3490,696,754,5912,14839,745,2054,14471,2146,6629,5198,8427,1283,2573,948,2573,25130,1317,1281,29530,4966,915,3566,16743,6233,10810,5097,11054,4026,1690,1238,1978,17171,3038,86907,329,8855
V 0  0  1  1  1  0 ,29885,4565,1493,5315,100229,1533,16840,383,345,21497,3708,3475,1120,1543,6724,16768,84941,4297,1303,5148,4600,510,1064,1290,14336,69143,4294,7883,26483,38494,3919,1738,20270,9346,1134,11527,2966,4318,2072,24198,5627,25577,7956,964,20434,13925,786,3582,17710,6522,835,5527,1184,3027,1742,5164,20577,31630,6551,1185,6321,482,123886,2525
V 1  0  0  0  1  0 ,2174,8168,26185,7774,2365,8935,2715,37567,33363,7255,11044,2910,9746,28539,25415,2984,2354,3120,32907,8962,28281,30118,11373,29637,9486,2548,8728,6963,6524,5873,9320,26610,2439,6012,32135,3370,3327,9559,23676,2343,24902,7676,22602,36153,2617,2901,12702,9909,8332,7586,11326,8366,8503,10868,7773,2776,8749,6696,6869,10146,8038,33785,2117,12107
V 1  0  1  1  0  1 ,7954,1335,356,1801,12297,2419,5985,427,308,2224,2386,3718,1389,656,949,9405,6177,7586,823,2415,546,503,1963,490,1907,7601,1170,2865,1871,2977,1819,766,4957,2417,399,5832,4717,1911,612,9909,451,2505,727,439,7822,4714,1155,1487,1431,2309,961,2956,1194,1191,1893,6041,2967,3734,1469,1459,1952,666,10086,1480
